Ship Collision Detection,Recursive Update,Particle Update,Bullet Update,Enemyships Update,Particle Draw
0.000325457,3.5751e-005,0.00498788,2.05465e-006,5.99959e-005,2.09575e-005
0.000261352,1.43826e-005,0.00429176,1.64372e-006,1.72591e-005,2.01356e-005
0.0001767,8.62954e-006,0.00266776,1.23279e-006,1.02733e-005,1.1917e-005
0.000174645,8.62954e-006,0.00220053,8.21861e-007,1.02733e-005,1.10951e-005
0.000180809,9.04047e-006,0.00292788,1.23279e-006,1.02733e-005,1.15061e-005
0.000185741,8.21861e-006,0.00223464,1.23279e-006,1.02733e-005,1.23279e-005
0.000155332,8.62954e-006,0.00313828,8.21861e-007,9.86233e-006,1.15061e-005
0.000168892,8.62954e-006,0.00224327,1.23279e-006,1.02733e-005,1.15061e-005
0.000177522,8.62954e-006,0.0023119,1.23279e-006,9.86233e-006,1.15061e-005
0.00018122,2.58886e-005,0.00366879,2.05465e-006,1.02733e-005,1.1917e-005
0.000160674,8.21861e-006,0.00247093,8.21861e-007,9.86233e-006,1.15061e-005
0.000162318,8.62954e-006,0.00220588,8.21861e-007,9.86233e-006,1.23279e-005
0.000172591,9.04047e-006,0.00221409,1.23279e-006,1.02733e-005,1.27388e-005
0.000180399,9.04047e-006,0.0022556,1.23279e-006,1.10951e-005,1.10951e-005
0.00016766,9.04047e-006,0.00423135,1.23279e-006,9.86233e-006,1.1917e-005
0.000173002,9.04047e-006,0.00221122,1.23279e-006,1.02733e-005,1.15061e-005
0.000156154,8.62954e-006,0.00227491,8.21861e-007,9.86233e-006,1.15061e-005
0.000156975,9.04047e-006,0.00219026,1.23279e-006,9.4514e-006,1.1917e-005
0.00016766,8.62954e-006,0.00219725,1.23279e-006,1.02733e-005,1.1917e-005
0.000172591,9.04047e-006,0.00221656,1.23279e-006,9.86233e-006,1.02733e-005
0.000173002,9.04047e-006,0.00218944,1.23279e-006,9.86233e-006,1.10951e-005
0.00158332,4.52024e-006,0.00174851,8.21861e-007,6.57489e-006,1.15061e-005
0.000295048,4.52024e-006,0.00230039,4.10931e-007,5.3421e-006,5.75303e-006
0.000245326,4.93117e-006,0.000950893,1.23279e-006,4.93117e-006,5.75303e-006
0.000161496,4.52024e-006,0.00094062,8.21861e-007,5.3421e-006,5.75303e-006
9.4514e-005,4.93117e-006,0.001015,8.21861e-007,4.52024e-006,5.3421e-006
0.000232998,4.93117e-006,0.000982535,1.23279e-006,5.3421e-006,6.16396e-006
8.17752e-005,4.52024e-006,0.000932812,8.21861e-007,4.52024e-006,7.39675e-006
9.08157e-005,4.52024e-006,0.000932402,1.23279e-006,5.3421e-006,5.75303e-006
0.000188206,4.52024e-006,0.000937333,8.21861e-007,4.93117e-006,5.3421e-006
0.000116293,4.52024e-006,0.000935689,8.21861e-007,4.93117e-006,5.3421e-006
0.000103144,4.93117e-006,0.00102116,1.64372e-006,4.93117e-006,5.3421e-006
